4 #anatomical sites
4 #samples
4 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	primary	0	primary	0	cluster_1	0	0
0	primary	0	primary	1	cluster_2	0	0
0	primary	0	primary	2	cluster_3	0.593608	0.970196
0	primary	0	primary	3	cluster_4	0.717181	0.742399
1	parotid_gland	1	parotid_gland	0	cluster_1	0	0
1	parotid_gland	1	parotid_gland	1	cluster_2	0.120322	0.194417
1	parotid_gland	1	parotid_gland	2	cluster_3	0	0
1	parotid_gland	1	parotid_gland	3	cluster_4	0.169588	0.182794
2	locoregional_1	2	locoregional_1	0	cluster_1	0.163215	0.316737
2	locoregional_1	2	locoregional_1	1	cluster_2	0	0
2	locoregional_1	2	locoregional_1	2	cluster_3	0.351583	0.686109
2	locoregional_1	2	locoregional_1	3	cluster_4	0.375351	0.394793
3	locoregional_2	3	locoregional_2	0	cluster_1	0	0
3	locoregional_2	3	locoregional_2	1	cluster_2	0.52953	0.695041
3	locoregional_2	3	locoregional_2	2	cluster_3	0	0
3	locoregional_2	3	locoregional_2	3	cluster_4	0.592892	0.619938
