5 #anatomical sites
5 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	primary	0	primary	0	cluster_1	0	0
0	primary	0	primary	1	cluster_2	0	0
0	primary	0	primary	2	cluster_3	0	0
0	primary	0	primary	3	cluster_4	0	0
0	primary	0	primary	4	cluster_5	0	0
0	primary	0	primary	5	cluster_6	0.464521	0.599603
0	primary	0	primary	6	cluster_7	0.741976	0.791688
0	primary	0	primary	7	cluster_8	0.00993791	0.0751306
1	locoregional_1	1	locoregional_1	0	cluster_1	0	0
1	locoregional_1	1	locoregional_1	1	cluster_2	0.0180317	0.0614007
1	locoregional_1	1	locoregional_1	2	cluster_3	0	0
1	locoregional_1	1	locoregional_1	3	cluster_4	0	0
1	locoregional_1	1	locoregional_1	4	cluster_5	0.822115	1
1	locoregional_1	1	locoregional_1	5	cluster_6	0	0
1	locoregional_1	1	locoregional_1	6	cluster_7	0.865464	0.911278
1	locoregional_1	1	locoregional_1	7	cluster_8	0.769592	0.995931
2	locoregional_2	2	locoregional_2	0	cluster_1	0	0
2	locoregional_2	2	locoregional_2	1	cluster_2	0.257326	0.403043
2	locoregional_2	2	locoregional_2	2	cluster_3	0.408053	0.88514
2	locoregional_2	2	locoregional_2	3	cluster_4	0	0
2	locoregional_2	2	locoregional_2	4	cluster_5	0.761621	0.952574
2	locoregional_2	2	locoregional_2	5	cluster_6	0	0
2	locoregional_2	2	locoregional_2	6	cluster_7	0.836576	0.880848
2	locoregional_2	2	locoregional_2	7	cluster_8	0.772527	0.992083
3	lymph_node	3	lymph_node	0	cluster_1	0	0
3	lymph_node	3	lymph_node	1	cluster_2	0	0
3	lymph_node	3	lymph_node	2	cluster_3	0	0
3	lymph_node	3	lymph_node	3	cluster_4	0.52119	0.627508
3	lymph_node	3	lymph_node	4	cluster_5	0.800809	1
3	lymph_node	3	lymph_node	5	cluster_6	0	0
3	lymph_node	3	lymph_node	6	cluster_7	0.840961	0.889022
3	lymph_node	3	lymph_node	7	cluster_8	0.794221	1
4	locoregional_3	4	locoregional_3	0	cluster_1	0.80806	0.980761
4	locoregional_3	4	locoregional_3	1	cluster_2	0	0
4	locoregional_3	4	locoregional_3	2	cluster_3	0	0
4	locoregional_3	4	locoregional_3	3	cluster_4	0	0
4	locoregional_3	4	locoregional_3	4	cluster_5	0.812417	1
4	locoregional_3	4	locoregional_3	5	cluster_6	0	0
4	locoregional_3	4	locoregional_3	6	cluster_7	0.841231	0.890885
4	locoregional_3	4	locoregional_3	7	cluster_8	0.859322	1
